city,lat,lng,country
Gadani,25.1194,66.7319,Pakistan
Dadhar,29.47,67.65,Pakistan
Haji Shah,33.75,72.4,Pakistan
Baltit,36.333,74.666,Pakistan
Dhanot,29.5333,71.6333,Pakistan
Mian Sahib,28.1559,68.6397,Pakistan
Awan Patti,34.25,73.66,Pakistan
Sangota,34.7833,72.4167,Pakistan
Ghora Gali,33.8833,73.3833,Pakistan
Mankera,31.3833,71.4333,Pakistan
Shergarh,30.8281,73.7383,Pakistan
Sultanpur Mor,32.1883,73.0286,Pakistan
Nurkot,32.2017,75.1186,Pakistan
Abdul Khel,32.3997,70.9136,Pakistan
Saidpur,33.7421,73.0677,Pakistan
Hattian Bala,34.1691,73.7432,Pakistan
Firoza,28.75,70.8167,Pakistan
Miro Khan,27.7597,68.0917,Pakistan
Gakuch,36.1736,73.7667,Pakistan
Haider Khel,32.9449,70.296,Pakistan
Surmon Chogga Grong,35.1518,76.4454,Pakistan
Basla,33.3833,73.3167,Pakistan
Bunji,35.6422,74.6336,Pakistan
Ghota Fatehgarh,32.09,74.78,Pakistan
Jandola,32.3317,70.1228,Pakistan
Gilgit,35.9208,74.3083,Pakistan
Drazinda,31.7069,70.1352,Pakistan
Chak Thathi,30.3701,73.2215,Pakistan
