mandi,item,category,min_price,max_price,retail_price,unit
پسرور,چنا سفید,Grain,300.0,326.0,390.0,KG
پسرور,چارہ,Grain,278.0,292.0,370.0,KG
پسرور,گڑ,Grain,195.0,213.0,240.0,KG
پسرور,کھل بنولا,Grain,2650.0,2800.0,3100.0,Mann
پسرور,مکئی,Grain,1830.0,2350.0,2600.0,Mann
پسرور,مکئی سایلیج,Grain,20.0,25.0,32.0,KG
پسرور,ماش,Grain,380.0,398.0,430.0,KG
پسرور,ماش دال دیسی,Grain,208.0,215.0,280.0,KG
پسرور,ماش دال امپورٹڈ,Grain,500.0,540.0,620.0,KG
پسرور,مسور دال دیسی,Grain,340.0,345.0,390.0,KG
پسرور,مسور دال امپورٹڈ,Grain,258.0,273.0,320.0,KG
پسرور,باجرہ,Grain,4550.0,4850.0,5000.0,Mann
پسرور,مونگ,Grain,288.0,305.0,360.0,KG
پسرور,مونگ دال,Grain,350.0,376.0,420.0,KG
پسرور,سرسوں,Grain,5800.0,6200.0,6500.0,Mann
پسرور,چھوٹا گوشت,Grain,7700.0,8500.0,9200.0,Mann
پسرور,پیڈی باسمتی سپر,Grain,5150.0,5700.0,6200.0,Mann
پسرور,پیڈی اری 6,Grain,2040.0,2300.0,2600.0,Mann
پسرور,پیڈی اری 9,Grain,2480.0,2700.0,2900.0,Mann
پسرور,پیڈی کائنات,Grain,4150.0,4500.0,4800.0,Mann
پسرور,سیلا باسمتی,Grain,265.0,285.0,350.0,KG
پسرور,سیلا باسمتی سپر,Grain,275.0,295.0,360.0,KG
پسرور,سیلا کائنات,Grain,262.0,290.0,360.0,KG
پسرور,مونگ پھلی,Grain,440.0,580.0,740.0,KG
پسرور,گوہر بیج,Grain,13000.0,16000.0,18000.0,Mann
پسرور,لال لوبیا,Grain,545.0,575.0,640.0,KG
پسرور,چاول باسمتی,Grain,245.0,266.0,320.0,KG
پسرور,چاول باسمتی سپر,Grain,245.0,266.0,350.0,KG
پسرور,چاول اری 6,Grain,165.0,174.0,190.0,KG
پسرور,چاول اری 9,Grain,180.0,190.0,220.0,KG
پسرور,چاول کائنات,Grain,245.0,275.0,340.0,KG
پسرور,صنم سوکھی لال مرچ,Grain,18500.0,24500.0,26000.0,Mann
پسرور,تل,Grain,13200.0,15800.0,16800.0,Mann
پسرور,سورگم,Grain,3400.0,4200.0,4500.0,Mann
پسرور,سورج مکھی,Grain,5700.0,6800.0,7300.0,Mann
پسرور,گندم,Grain,2360.0,2550.0,2800.0,Mann
پسرور,توڑی,Grain,1030.0,1080.0,1300.0,Mann
پسرور,چینی,Grain,164.0,172.0,180.0,KG
سیالکوٹ,بنولا,Grain,2250.0,2450.0,2700.0,Mann
سیالکوٹ,شکر,Grain,170.0,185.0,210.0,KG
سیالکوٹ,کنولا,Grain,6600.0,7000.0,7300.0,Mann
سیالکوٹ,کپاس,Grain,8850.0,9650.0,10600.0,Mann
سیالکوٹ,سونف,Grain,730.0,810.0,920.0,KG
سیالکوٹ,سونف درجہ اول,Grain,960.0,1040.0,1200.0,KG
سیالکوٹ,سونف درجہ دوئم,Grain,860.0,920.0,1020.0,KG
سیالکوٹ,السی,Grain,345.0,370.0,440.0,KG
سیالکوٹ,کالا چنا,Grain,290.0,310.0,380.0,KG
سیالکوٹ,چنا دیسی,Grain,118.0,121.0,150.0,KG
سیالکوٹ,بیسن,Grain,300.0,318.0,380.0,KG
سیالکوٹ,چنا دال,Grain,280.0,310.0,370.0,KG
سیالکوٹ,چنا سفید,Grain,290.0,315.0,380.0,KG
سیالکوٹ,گڑ,Grain,175.0,195.0,220.0,KG
سیالکوٹ,کھل بنولا,Grain,2600.0,2750.0,3000.0,Mann
سیالکوٹ,مکئی,Grain,1920.0,2440.0,2650.0,Mann
سیالکوٹ,مکئی سایلیج,Grain,20.0,26.0,32.0,KG
سیالکوٹ,ماش,Grain,375.0,392.0,420.0,KG
سیالکوٹ,ماش دال دیسی,Grain,208.0,215.0,280.0,KG
سیالکوٹ,ماش دال امپورٹڈ,Grain,495.0,530.0,600.0,KG
سیالکوٹ,مسور دال دیسی,Grain,330.0,342.0,380.0,KG
سیالکوٹ,مسور دال امپورٹڈ,Grain,250.0,265.0,310.0,KG
سیالکوٹ,باجرہ,Grain,4450.0,4770.0,4950.0,Mann
سیالکوٹ,مونگ,Grain,280.0,295.0,340.0,KG
سیالکوٹ,مونگ دال,Grain,340.0,365.0,400.0,KG
سیالکوٹ,سرسوں,Grain,5800.0,6300.0,6600.0,Mann
سیالکوٹ,پیڈی باسمتی سپر,Grain,5150.0,5650.0,6000.0,Mann
سیالکوٹ,پیڈی اری 6,Grain,2000.0,2250.0,2550.0,Mann
سیالکوٹ,پیڈی اری 9,Grain,2400.0,2650.0,2900.0,Mann
سیالکوٹ,پیڈی کائنات,Grain,4100.0,4450.0,4750.0,Mann
سیالکوٹ,سیلا باسمتی,Grain,255.0,275.0,340.0,KG
سیالکوٹ,سیلا باسمتی سپر,Grain,265.0,286.0,360.0,KG
سیالکوٹ,سیلا کائنات,Grain,255.0,280.0,350.0,KG
سیالکوٹ,مونگ پھلی,Grain,420.0,560.0,720.0,KG
سیالکوٹ,لال لوبیا,Grain,536.0,565.0,620.0,KG
