mandi,item,category,min_price,max_price,retail_price,unit
قصور,کلونجی,Grain,760.0,820.0,1000.0,KG
قصور,شکر,Grain,190.0,205.0,240.0,KG
قصور,کنولا,Grain,6000.0,6300.0,6600.0,Mann
قصور,کپاس,Grain,8000.0,8600.0,9500.0,Mann
قصور,دیسی گھی,Grain,1730.0,1800.0,1900.0,KG
قصور,دیسی چینی,Grain,115.0,122.0,132.0,KG
قصور,سوکھا دھنیا ,Grain,360.0,385.0,460.0,KG
قصور,سونف,Grain,660.0,700.0,780.0,KG
قصور,سونف درجہ اول,Grain,950.0,980.0,1100.0,KG
قصور,سونف درجہ دوئم,Grain,760.0,800.0,880.0,KG
قصور,السی,Grain,300.0,335.0,400.0,KG
قصور,کالا چنا,Grain,240.0,260.0,330.0,KG
قصور,چنا دیسی,Grain,115.0,120.0,135.0,KG
قصور,بیسن,Grain,280.0,295.0,350.0,KG
قصور,چنا دال,Grain,250.0,280.0,340.0,KG
قصور,چنا سفید,Grain,255.0,280.0,360.0,KG
قصور,چارہ,Grain,155.0,175.0,180.0,Mann
قصور,گڑ,Grain,155.0,175.0,190.0,KG
قصور,کھل بنولا,Grain,2600.0,2750.0,3100.0,Mann
قصور,کھل سرسوں,Grain,2000.0,2200.0,2600.0,Mann
قصور,مکئی,Grain,1850.0,2250.0,2500.0,Mann
قصور,مکئی سایلیج,Grain,19.0,22.0,30.0,KG
قصور,ماش,Grain,400.0,430.0,480.0,KG
قصور,ماش دال دیسی,Grain,13700.0,14500.0,15500.0,Mann
قصور,ماش دال امپورٹڈ,Grain,470.0,485.0,550.0,KG
قصور,مسور دال دیسی,Grain,9400.0,9700.0,10400.0,Mann
قصور,مسور دال امپورٹڈ,Grain,250.0,270.0,320.0,KG
قصور,مسور ثابت دیسی,Grain,8000.0,8500.0,9000.0,Mann
قصور,مسور ثابت امپورٹڈ,Grain,7500.0,7700.0,8500.0,Mann
قصور,باجرہ,Grain,4000.0,4300.0,4600.0,Mann
قصور,مونگ,Grain,270.0,290.0,340.0,KG
قصور,مونگ دال,Grain,330.0,350.0,380.0,KG
قصور,سرسوں,Grain,5600.0,6000.0,6300.0,Mann
قصور,جوی,Grain,2600.0,3300.0,3500.0,Mann
قصور,پیڈی باسمتی,Grain,4850.0,5200.0,5500.0,Mann
قصور,پیڈی باسمتی سپر,Grain,5050.0,5500.0,5800.0,Mann
قصور,پیڈی اری 6,Grain,1750.0,2150.0,2400.0,Mann
قصور,پیڈی اری 9,Grain,2300.0,2550.0,2800.0,Mann
